procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69367056   7688  72536    0    0   753  2452   28  102 24  5 66  5  0	
 3  0      0 69363344   7688  72560    0    0 15760     0 57261 57527  2  1 94  4  0	
 2  1      0 69362848   7696  72560    0    0 15680    40 59189 59821  1  0 94  4  0	
 3  0      0 69362848   7696  72560    0    0 15984     0 57912 58462  1  1 94  4  0	
 3  0      0 69362848   7696  72560    0    0 15376     0 59278 59779  1  0 94  4  0	
 2  1      0 69362848   7696  72560    0    0 15984     0 57773 58296  1  1 94  4  0	
 3  0      0 69362848   7696  72560    0    0 15760     0 58455 59529  1  0 94  4  0	
 1  1      0 69362848   7704  72552    0    0 15904    12 58464 59727  1  1 94  4  0	
 1  1      0 69362848   7704  72552    0    0 15280     0 58852 59899  1  0 94  4  0	
 1  1      0 69362848   7704  72560    0    0 15472     0 58159 58932  1  0 94  4  0	
 3  0      0 69362848   7704  72560    0    0 15936     0 57367 58311  1  0 94  4  0	
 2  0      0 69362848   7704  72560    0    0 16224     0 57557 58568  1  0 94  4  0	
 1  1      0 69362848   7704  72560    0    0 15536     0 57076 58125  1  0 94  4  0	
 2  0      0 69362848   7712  72560    0    0 15568    20 57407 58506  1  0 94  4  0	
 0  2      0 69362848   7712  72560    0    0 15360     0 56894 57970  1  0 94  4  0	
 3  0      0 69362848   7712  72560    0    0 16128     0 55756 56740  1  0 94  4  0	
 1  1      0 69362848   7712  72560    0    0 15392     0 58342 59336  1  0 94  4  0	
 1  1      0 69362848   7712  72560    0    0 14944     0 59367 60513  1  0 94  4  0	
 3  0      0 69362848   7720  72552    0    0 16032    20 57123 57971  1  0 94  4  0	
 1  1      0 69362848   7720  72560    0    0 15344     0 56722 57176  1  0 94  4  0	
 1  1      0 69362848   7720  72560    0    0 15808     0 58032 58824  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69362848   7720  72560    0    0 15024     0 58400 59127  1  0 94  4  0	
 1  1      0 69362848   7720  72560    0    0 15296     0 58463 59436  1  0 94  4  0	
 0  2      0 69362848   7720  72568    0    0 15776     0 57184 58291  1  0 94  4  0	
 3  0      0 69362848   7728  72560    0    0 14816    20 57120 58395  1  0 94  4  0	
 1  1      0 69362848   7728  72568    0    0 15488     0 58664 59584  1  1 94  4  0	
 0  2      0 69362848   7728  72568    0    0 15168     0 57998 59013  1  0 94  4  0	
 2  1      0 69362720   7728  72568    0    0 16064     0 58240 59363  1  0 95  4  0	
