procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97504672  11904  70104    0    0  3973     1   50   36 32 10 47 10  1	
51 19      0 97394256  11908  70124    0    0 213856     0 126336 250951 53 20 27  0  1	
 9 55      0 97297664  11908  70124    0    0 214864     0 153517 220160 37 12  1 49  1	
12 53      0 97296304  11908  70124    0    0 163248     0 194937 209733 15  5  1 78  2	
16 50      0 97296304  11908  70124    0    0 163360     0 193809 211119 15  4  1 78  2	
11 57      0 97296304  11908  70124    0    0 163408     0 192983 209190 14  4  1 79  2	
12 55      0 97294304  11916  70124    0    0 163376    56 193584 206525 16  4  1 77  2	
16 51      0 97294304  11916  70124    0    0 163312     0 194529 211816 15  4  1 79  2	
 7 58      0 97294304  11916  70124    0    0 163424     0 195074 211029 15  4  1 78  2	
15 50      0 97294304  11916  70124    0    0 163232     0 195362 210078 14  4  1 79  2	
 3 61      0 97294304  11916  70124    0    0 163472     0 195001 211384 15  3  1 79  2	
 3 61      0 97294304  11924  70124    0    0 163376    24 194709 208857 14  4  1 79  2	
11 54      0 97294304  11924  70124    0    0 163264     0 192467 210215 15  4  1 78  2	
10 55      0 97294304  11924  70124    0    0 163296     0 194917 211993 16  5  1 77  2	
 5 60      0 97294304  11924  70124    0    0 163392     0 193129 210006 16  3  1 78  2	
 3 62      0 97294304  11924  70124    0    0 163424     0 190022 207944 15  4  1 78  2	
 8 57      0 97294304  11924  70124    0    0 163248     0 194477 210028 15  4  1 78  2	
13 53      0 97294304  11932  70124    0    0 163296    16 193742 209237 16  4  1 78  2	
 8 56      0 97294304  11932  70124    0    0 163392     0 195925 212937 15  5  1 77  2	
 6 58      0 97294304  11932  70124    0    0 163392     0 195557 212003 15  4  1 79  2	
11 54      0 97294304  11932  70124    0    0 163232     0 195402 211765 15  4  1 78  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9 56      0 97294304  11932  70124    0    0 163376     0 194432 212708 18  4  1 75  2	
 9 58      0 97294304  11940  70124    0    0 163312    16 193567 211357 15  5  1 77  2	
 7 57      0 97294304  11940  70124    0    0 163376     0 196457 212757 15  4  1 78  2	
 9 55      0 97294304  11940  70124    0    0 163344     0 193544 209615 14  5  1 79  2	
 8 57      0 97294304  11940  70124    0    0 163328     0 196651 212680 14  4  1 79  2	
 6 59      0 97294304  11940  70124    0    0 163376     4 194369 211899 16  4  1 77  2	
 8 58      0 97294304  11940  70124    0    0 163344     0 196373 213149 14  5  1 78  2	
 8 57      0 97294304  11948  70124    0    0 163312    16 192810 209543 15  5  1 77  2	
15 50      0 97294304  11948  70124    0    0 163216     0 194135 211601 15  4  1 78  2	
10 56      0 97294304  11948  70124    0    0 163472     0 191348 205500 15  4  1 79  2	
14 52      0 97294304  11948  70124    0    0 163248    68 194538 210252 15  4  1 78  2	
 5 60      0 97294304  11948  70124    0    0 163520     0 192650 212094 16  4  1 77  2	
 9 56      0 97294304  11956  70128    0    0 163248    28 193074 207821 15  4  1 78  2	
 6 59      0 97294304  11956  70128    0    0 163344     0 194483 212854 15  4  1 78  2	
 6 58      0 97294304  11956  70128    0    0 163360     0 194980 212076 14  5  1 78  2	
 9 55      0 97294304  11956  70128    0    0 163376     8 195189 214141 15  4  1 78  2	
